item index num(items[i]),id of checkin,city,createdAt,createdAtDate,createdAtDay,createdAtDayArrayValue,createdAtTime,createAtTimeMins,venue name,location lat,location long,,,,
101,50169a34e4b01bcdb336d132,New York,1343658548,"Monday, July 30, 12",Monday,0,10:29,629,ChatID,40.73870023,-73.9890146,10.4833543,10,29,10:29:00 AM
105,50126df6e4b07f20b271e163,New York,1343385078,"Friday, July 27, 12",Friday,4,6:31,391,Palladium Athletic Facility,40.73342001,-73.98809062,6.5166797,6,31,6:31:00 AM
106,50118bcee4b0dbe1572b78c4,New York,1343327182,"Thursday, July 26, 12",Thursday,3,14:26,866,ITP,40.72944585,-73.99366021,14.4333622,14,26,2:26:00 PM
107,501155eee4b06fc7cdcbe973,New York,1343313390,"Thursday, July 26, 12",Thursday,3,10:36,636,ChatID,40.73870023,-73.9890146,10.6000212,10,36,10:36:00 AM
121,500024d7e4b0c1f04fe891d0,Quito,1342186711,"Friday, July 13, 12",Friday,4,9:38,578,ChatID,40.73870023,-73.9890146,9.6333526,9,38,9:38:00 AM
123,4fff4e47e4b0396b177e0cfd,New York,1342131783,"Thursday, July 12, 12",Thursday,3,18:23,1103,ChatID,40.73870023,-73.9890146,18.3833701,18,23,6:23:00 PM
131,4ffd8d83e4b08c5c1bd534a9,New York,1342016899,"Wednesday, July 11, 12",Wednesday,2,10:28,628,ChatID,40.73870023,-73.9890146,10.4666876,10,28,10:28:00 AM
133,4ffc3fdee4b04f2b011fb143,New York,1341931486,"Tuesday, July 10, 12",Tuesday,1,10:44,644,ChatID,40.73870023,-73.9890146,10.7333548,10,44,10:44:00 AM
134,4ffb672fe4b042c38c094c02,New York,1341876015,"Monday, July 9, 12",Monday,0,19:20,1160,Palladium Athletic Facility,40.73342001,-73.98809062,19.333372,19,20,7:20:00 PM
135,4ffb281ce4b0aeaea02a919b,New York,1341859868,"Monday, July 9, 12",Monday,0,14:51,891,ChatID,40.73870023,-73.9890146,14.8500297,14,51,2:51:00 PM
137,4ff74d7de4b048eef7cfdd98,New York,1341607293,"Friday, July 6, 12",Friday,4,16:41,1001,ChatID,40.73870023,-73.9890146,16.6833667,16,41,4:41:00 PM
138,4ff5a405e4b0d61583753d55,Astoria,1341498373,"Thursday, July 5, 12",Thursday,3,10:26,626,ChatID,40.73870023,-73.9890146,10.4333542,10,26,10:26:00 AM
142,4ff303eae4b013bcfc7b773b,New York,1341326314,"Tuesday, July 3, 12",Tuesday,1,10:38,638,ChatID,40.73870023,-73.9890146,10.6333546,10,38,10:38:00 AM
145,4ff1b131e4b0b29eb20626d8,New York,1341239601,"Monday, July 2, 12",Monday,0,10:33,633,ChatID,40.73870023,-73.9890146,10.5500211,10,33,10:33:00 AM
147,4ff0c664e4b0b5102eb3972f,New York,1341179492,"Sunday, July 1, 12",Sunday,6,17:51,1071,Palladium Athletic Facility,40.73342001,-73.98809062,17.8500357,17,51,5:51:00 PM
158,4fee4909e4b078413a62a11a,New York,1341016329,"Friday, June 29, 12",Friday,4,20:32,1232,ChatID,40.73870023,-73.9890146,20.5333744,20,32,8:32:00 PM
160,4fec7095e4b06e70962dd9c2,Astoria,1340895381,"Thursday, June 28, 12",Thursday,3,10:56,656,ChatID,40.73870023,-73.9890146,10.9333552,10,56,10:56:00 AM
163,4feba0a5e4b07365c99f13a3,New York,1340842149,"Wednesday, June 27, 12",Wednesday,2,20:09,1209,Palladium Athletic Facility,40.73342001,-73.98809062,20.1500403,20,9,8:09:00 PM
164,4feba081e4b0b5eca7560404,New York,1340842113,"Wednesday, June 27, 12",Wednesday,2,20:08,1208,ChatID,40.73870023,-73.9890146,20.1333736,20,8,8:08:00 PM
166,4fe9ba98e4b0f1cc9ce4ee67,New York,1340717720,"Tuesday, June 26, 12",Tuesday,1,9:35,575,ChatID,40.73870023,-73.9890146,9.5833525,9,35,9:35:00 AM
168,4fe90db2e4b05d378dd0920c,New York,1340673458,"Monday, June 25, 12",Monday,0,21:17,1277,ChatID,40.73870023,-73.9890146,21.2833759,21,17,9:17:00 PM
175,4fe61546e4b0b901aff3d115,New York,1340478790,"Saturday, June 23, 12",Saturday,5,15:13,913,Palladium Athletic Facility,40.73342001,-73.98809062,15.2166971,15,13,3:13:00 PM
178,4fe48293e4b08c839cd9ea64,New York,1340375699,"Friday, June 22, 12",Friday,4,10:34,634,ChatID,40.73870023,-73.9890146,10.5666878,10,34,10:34:00 AM
180,4fe332cfe4b053fe13e0b833,New York,1340289743,"Thursday, June 21, 12",Thursday,3,10:42,642,ChatID,40.73870023,-73.9890146,10.7000214,10,42,10:42:00 AM
183,4fe23b73e4b0b689ab6f880c,New York,1340226419,"Wednesday, June 20, 12",Wednesday,2,17:06,1026,ChatID,40.73870023,-73.9890146,17.1000342,17,6,5:06:00 PM
186,4fe13bbfe4b00017d7cca626,New York,1340160959,"Tuesday, June 19, 12",Tuesday,1,22:55,1375,Palladium Athletic Facility,40.73342001,-73.98809062,22.9167125,22,55,10:55:00 PM
188,4fe09e7ae4b0e2a009e4a403,New York,1340120698,"Tuesday, June 19, 12",Tuesday,1,11:44,704,ChatID,40.73870023,-73.9890146,11.7333568,11,44,11:44:00 AM
191,4fdf3cdbe4b082d0773b5aeb,New York,1340030171,"Monday, June 18, 12",Monday,0,10:36,636,ChatID,40.73870023,-73.9890146,10.6000212,10,36,10:36:00 AM
197,4fdcbc74e4b049c33b6f4cc2,New York,1339866228,"Saturday, June 16, 12",Saturday,5,13:03,783,ITP,40.72944585,-73.99366021,13.0500261,13,3,1:03:00 PM
198,4fdbecb7e4b0dce4ffde2c07,New York,1339813047,"Friday, June 15, 12",Friday,4,22:17,1337,Palladium Athletic Facility,40.73342001,-73.98809062,22.2833779,22,17,10:17:00 PM
200,4fdb71c6e4b0bcab810d546d,New York,1339781574,"Friday, June 15, 12",Friday,4,13:32,812,ChatID,40.73870023,-73.9890146,13.5333604,13,32,1:32:00 PM
202,4fda2a9ae4b040461cb66b06,New York,1339697818,"Thursday, June 14, 12",Thursday,3,14:16,856,ChatID,40.73870023,-73.9890146,14.2666952,14,16,2:16:00 PM
207,4fd8a45de4b0c84933e36f8b,New York,1339597917,"Wednesday, June 13, 12",Wednesday,2,10:31,631,ChatID,40.73870023,-73.9890146,10.5166877,10,31,10:31:00 AM
210,4f5fb3a1e4b06f48bfe14afc,New York,1331671969,"Tuesday, March 13, 12",Tuesday,1,16:52,1012,Palladium Athletic Facility,40.73342001,-73.98809062,16.8667004,16,52,4:52:00 PM
214,4f5647eee4b0d04330408350,New York,1331054574,"Tuesday, March 6, 12",Tuesday,1,13:22,802,ITP,40.72944585,-73.99366021,13.3666934,13,22,1:22:00 PM
217,4f542036e4b063296ee3ca93,New York,1330913334,"Sunday, March 4, 12",Sunday,6,22:08,1328,ITP,40.72944585,-73.99366021,22.1333776,22,8,10:08:00 PM
218,4f53c6ebe4b06025ea550f52,New York,1330890475,"Sunday, March 4, 12",Sunday,6,15:47,947,Palladium Athletic Facility,40.73342001,-73.98809062,15.7833649,15,47,3:47:00 PM
219,4f5169fee4b050039c7c3ec6,New York,1330735614,"Friday, March 2, 12",Friday,4,20:46,1246,ITP,40.72944585,-73.99366021,20.7667082,20,46,8:46:00 PM
222,4f4fde0fe4b0cad93ca0b1ed,New York,1330634255,"Thursday, March 1, 12",Thursday,3,16:37,997,ITP,40.72944585,-73.99366021,16.6166999,16,37,4:37:00 PM
223,4f4f874ee4b008082c6b767d,New York,1330612046,"Thursday, March 1, 12",Thursday,3,10:27,627,Palladium Athletic Facility,40.73342001,-73.98809062,10.4500209,10,27,10:27:00 AM
225,4f4ede0de4b03cdd7978b605,New York,1330568717,"Wednesday, February 29, 12",Wednesday,2,22:25,1345,ITP,40.72944585,-73.99366021,22.4167115,22,25,10:25:00 PM
226,4f4d1009e4b0cb12b8bea1e8,New York,1330450441,"Tuesday, February 28, 12",Tuesday,1,13:34,814,ITP,40.72944585,-73.99366021,13.5666938,13,34,1:34:00 PM
229,4f4a89d4e4b01739bc04fe25,New York,1330285012,"Sunday, February 26, 12",Sunday,6,15:36,936,Palladium Athletic Facility,40.73342001,-73.98809062,15.6000312,15,36,3:36:00 PM
233,4f46b426e4b0186351247466,New York,1330033702,"Thursday, February 23, 12",Thursday,3,17:48,1068,ITP,40.72944585,-73.99366021,17.8000356,17,48,5:48:00 PM
234,4f468b22e4b0cc9b8120cb52,New York,1330023202,"Thursday, February 23, 12",Thursday,3,14:53,893,Palladium Athletic Facility,40.73342001,-73.98809062,14.8833631,14,53,2:53:00 PM
235,4f4525a0e4b0ea314bc4bd64,New York,1329931680,"Wednesday, February 22, 12",Wednesday,2,13:28,808,ITP,40.72944585,-73.99366021,13.4666936,13,28,1:28:00 PM
237,4f43d28ce4b011b007ecdc47,New York,1329844876,"Tuesday, February 21, 12",Tuesday,1,13:21,801,ITP,40.72944585,-73.99366021,13.3500267,13,21,1:21:00 PM
239,4f41109ee4b0daed4365b3e9,New York,1329664158,"Sunday, February 19, 12",Sunday,6,11:09,669,Palladium Athletic Facility,40.73342001,-73.98809062,11.1500223,11,9,11:09:00 AM
240,4f3ff897e4b02a1896c04210,New York,1329592471,"Saturday, February 18, 12",Saturday,5,15:14,914,ITP,40.72944585,-73.99366021,15.2333638,15,14,3:14:00 PM
243,4f3d5e34e4b054d24125d964,New York,1329421876,"Thursday, February 16, 12",Thursday,3,15:51,951,ITP,40.72944585,-73.99366021,15.8500317,15,51,3:51:00 PM
244,4f3d5e28e4b022e41dc88fb6,New York,1329421864,"Thursday, February 16, 12",Thursday,3,15:51,951,Palladium Athletic Facility,40.73342001,-73.98809062,15.8500317,15,51,3:51:00 PM
247,4f3c54e7e4b08f6e57b29318,New York,1329353959,"Wednesday, February 15, 12",Wednesday,2,20:59,1259,ITP,40.72944585,-73.99366021,20.9833753,20,59,8:59:00 PM
