item index num(items[i]),id of checkin,createdAt,createdATDateTimeFormat,createdAtDate,,createdAtDay,createdAtTime,venue name,location lat,location long
32,505870dae4b0eceb3bac8c66,1347973338,9/18/12 9:02 AM,"Tuesday, September 18, 12","Tuesday, September 18, 12",Tuesday,9:02 AM,Courant Institute of Mathematical Sciences,40.728693,-73.995627
33,505870bfe4b079bf3ad7ca38,1347973311,9/18/12 9:01 AM,"Tuesday, September 18, 12","Tuesday, September 18, 12",Tuesday,9:01 AM,Palladium Athletic Facility,40.73342001,-73.98809062
34,50550dece4b0c9940803aa93,1347751404,9/15/12 7:23 PM,"Saturday, September 15, 12","Saturday, September 15, 12",Saturday,7:23 PM,Bohemian Hall & Beer Garden,40.77300702,-73.9158863
35,50550d77e4b06562e3987ba0,1347751287,9/15/12 7:21 PM,"Saturday, September 15, 12","Saturday, September 15, 12",Saturday,7:21 PM,Mojave NYC,40.77564307,-73.91205118
36,5052229ee4b0bdd5e8fd2edc,1347560094,9/13/12 2:14 PM,"Thursday, September 13, 12","Thursday, September 13, 12",Thursday,2:14 PM,Lamazou,40.741282,-73.981401
37,5052228de4b0b0fc417502b3,1347560077,9/13/12 2:14 PM,"Thursday, September 13, 12","Thursday, September 13, 12",Thursday,2:14 PM,ChatID,40.73870023,-73.9890146
38,504fcaade4b0eacd3dcb341e,1347406509,9/11/12 7:35 PM,"Tuesday, September 11, 12","Tuesday, September 11, 12",Tuesday,7:35 PM,Momofuku Ssäm Bar,40.73177304,-73.98565727
39,504e7271e4b0da2e1ce474cf,1347318385,9/10/12 7:06 PM,"Monday, September 10, 12","Monday, September 10, 12",Monday,7:06 PM,Courant Institute of Mathematical Sciences,40.728693,-73.995627
40,504e7250e4b0baeda4cfc6c7,1347318352,9/10/12 7:05 PM,"Monday, September 10, 12","Monday, September 10, 12",Monday,7:05 PM,Palladium Athletic Facility,40.73342001,-73.98809062
41,504cdefde4b04dcd1846e2e2,1347215101,9/9/12 2:25 PM,"Sunday, September 9, 12","Sunday, September 9, 12",Sunday,2:25 PM,Oriole Park At Camden Yards,39.28389178,-76.62165642
42,504c18dee4b04977de9a413a,1347164382,9/9/12 12:19 AM,"Sunday, September 9, 12","Sunday, September 9, 12",Sunday,12:19 AM,Patterson Park,39.28917313,-76.57895565
43,504c18c4e4b09a4431c6683a,1347164356,9/9/12 12:19 AM,"Sunday, September 9, 12","Sunday, September 9, 12",Sunday,12:19 AM,Bistro Rx,39.29208987,-76.57617687
44,504c18ace4b02e54393524a5,1347164332,9/9/12 12:18 AM,"Sunday, September 9, 12","Sunday, September 9, 12",Sunday,12:18 AM,Of Love & Regret,39.28069723,-76.5669157
45,504a1d15e4b08c480553cf6e,1347034389,9/7/12 12:13 PM,"Friday, September 7, 12","Friday, September 7, 12",Friday,12:13 PM,ITP,40.72944585,-73.99366021
46,5044160be4b08d9f59ee6587,1346639371,9/2/12 10:29 PM,"Sunday, September 2, 12","Sunday, September 2, 12",Sunday,10:29 PM,AMC Loews Village 7,40.73135645,-73.9886713
47,504305b1e4b0f30042438be4,1346569649,9/2/12 3:07 AM,"Sunday, September 2, 12","Sunday, September 2, 12",Sunday,3:07 AM,The Jane Hotel Ballroom,40.73813675,-74.00935815
48,5042d7f5e4b0f7ca2caac745,1346557941,9/1/12 11:52 PM,"Saturday, September 1, 12","Saturday, September 1, 12",Saturday,11:52 PM,Anfora,40.73800181,-74.00428538
49,5042ad2be4b02607d0f84dfa,1346546987,9/1/12 8:49 PM,"Saturday, September 1, 12","Saturday, September 1, 12",Saturday,8:49 PM,Babbo,40.732381,-73.999191
50,50427d38e4b07ecdea7a18cb,1346534712,9/1/12 5:25 PM,"Saturday, September 1, 12","Saturday, September 1, 12",Saturday,5:25 PM,Palladium Athletic Facility,40.73342001,-73.98809062
51,50414770e4b05127f7a33b9e,1346455408,8/31/12 7:23 PM,"Friday, August 31, 12","Friday, August 31, 12",Friday,7:23 PM,2012 US Open Tennis Championships,40.749701,-73.845582
52,503ff102e4b06c0c2af6d479,1346367746,8/30/12 7:02 PM,"Thursday, August 30, 12","Thursday, August 30, 12",Thursday,7:02 PM,Music Box Theatre,40.75875683,-73.98730438
53,503e57c5e4b04e0d4236d79b,1346262981,8/29/12 1:56 PM,"Wednesday, August 29, 12","Wednesday, August 29, 12",Wednesday,1:56 PM,2012 US Open Tennis Championships,40.749701,-73.845582
54,503d4b4ce4b043607f8b1a07,1346194252,8/28/12 6:50 PM,"Tuesday, August 28, 12","Tuesday, August 28, 12",Tuesday,6:50 PM,2012 US Open Tennis Championships,40.749701,-73.845582
55,503a4bc4e4b0d21891c3642a,1345997764,8/26/12 12:16 PM,"Sunday, August 26, 12","Sunday, August 26, 12",Sunday,12:16 PM,Niagara Falls State Park,43.08662992,-79.06667233
56,5038eef7e4b0c8e15c73e049,1345908471,8/25/12 11:27 AM,"Saturday, August 25, 12","Saturday, August 25, 12",Saturday,11:27 AM,Homewood Suites by Hilton Rochester / Victor,43.01114326,-77.449193
57,50366e3ce4b05734311caf0f,1345744444,8/23/12 1:54 PM,"Thursday, August 23, 12","Thursday, August 23, 12",Thursday,1:54 PM,Calexico Cart,40.74235552,-73.98899317
58,50304e58e4b0298226a445c6,1345343064,8/18/12 10:24 PM,"Saturday, August 18, 12","Saturday, August 18, 12",Saturday,10:24 PM,PH-D at Dream Downtown,40.74232251,-74.00333278
59,502fafc9e4b0a20c89026236,1345302473,8/18/12 11:07 AM,"Saturday, August 18, 12","Saturday, August 18, 12",Saturday,11:07 AM,Six Flags Great Adventure,40.13862007,-74.441117
60,502f0545e4b0b666528834cf,1345258821,8/17/12 11:00 PM,"Friday, August 17, 12","Friday, August 17, 12",Friday,11:00 PM,The McKittrick Hotel/Sleep No More,40.75081989,-74.00386647
61,502ee03fe4b08345cc940f8e,1345249343,8/17/12 8:22 PM,"Friday, August 17, 12","Friday, August 17, 12",Friday,8:22 PM,Kang Suh ????,40.748187,-73.9878
62,502ee029e4b0a9acfebb9183,1345249321,8/17/12 8:22 PM,"Friday, August 17, 12","Friday, August 17, 12",Friday,8:22 PM,ChatID,40.73870023,-73.9890146
63,502ee016e4b0265f8b3c90dd,1345249302,8/17/12 8:21 PM,"Friday, August 17, 12","Friday, August 17, 12",Friday,8:21 PM,David's Bagels,40.73224896,-73.98166284
64,502e1b3ae4b0eed9c2e57485,1345198906,8/17/12 6:21 AM,"Friday, August 17, 12","Friday, August 17, 12",Friday,6:21 AM,7 Stuyvesant Oval,40.73153678,-73.97951637
65,502d471ee4b06888b5ea5bcf,1345144606,8/16/12 3:16 PM,"Thursday, August 16, 12","Thursday, August 16, 12",Thursday,3:16 PM,goodburger,40.73736755,-73.99015091
66,502d0616e4b078fb585c91c6,1345127958,8/16/12 10:39 AM,"Thursday, August 16, 12","Thursday, August 16, 12",Thursday,10:39 AM,ChatID,40.73870023,-73.9890146
67,502d0604e4b0beacbd0572ad,1345127940,8/16/12 10:39 AM,"Thursday, August 16, 12","Thursday, August 16, 12",Thursday,10:39 AM,David's Bagels,40.73224896,-73.98166284
68,502d05dee4b0265f8a52e85a,1345127902,8/16/12 10:38 AM,"Thursday, August 16, 12","Thursday, August 16, 12",Thursday,10:38 AM,AMC Loews Lincoln Square 13,40.77489793,-73.98210476
