3.0,38.0,3.0,38.0,87,638,13.0,16.0,21.0
3.0,37.0,3.0,37.0,88,637,4.0,9.0,15.0
2.0,36.0,2.0,36.0,89,436,1.0,4.0,11.0
1.0,35.0,1.0,35.0,90,235,17.0,20.0,27.0
0.0,34.0,0.0,34.0,91,34,6.0,13.0,19.0
1.0,33.0,1.0,33.0,92,233,6.0,11.0,17.0
2.0,32.0,2.0,32.0,93,432,8.0,13.0,19.0
3.0,31.0,3.0,31.0,94,631,13.0,16.0,23.0
4.0,30.0,4.0,30.0,95,830,10.0,14.0,25.0
5.0,29.0,5.0,29.0,96,1029,17.0,21.0,30.0
6.0,28.0,6.0,28.0,97,1228,17.0,24.0,32.0
7.0,27.0,7.0,27.0,98,1427,16.0,19.0,28.0
8.0,26.0,8.0,26.0,99,1626,18.0,22.0,31.0
8.0,25.0,8.0,25.0,100,1625,17.0,21.0,30.0
9.0,24.0,9.0,24.0,101,1824,19.0,19.0,29.0
9.0,23.0,9.0,23.0,102,1823,5.0,10.0,16.0
10.0,22.0,10.0,22.0,103,2022,15.0,20.0,24.0
11.0,21.0,11.0,21.0,104,2221,16.0,21.0,25.0
11.0,20.0,11.0,20.0,105,2220,13.0,16.0,23.0
12.0,19.0,12.0,19.0,106,2419,16.0,20.0,29.0
13.0,18.0,13.0,18.0,107,2618,18.0,27.0,34.0
14.0,17.0,14.0,17.0,108,2817,14.0,23.0,30.0
15.0,16.0,15.0,16.0,109,3016,20.0,27.0,35.0
16.0,15.0,16.0,15.0,110,3215,22.0,26.0,35.0
17.0,14.0,17.0,14.0,111,3414,18.0,25.0,33.0
18.0,13.0,18.0,13.0,112,3613,15.0,24.0,31.0
19.0,12.0,19.0,12.0,113,3812,19.0,23.0,32.0
20.0,11.0,20.0,11.0,114,4011,13.0,17.0,26.0
20.0,10.0,20.0,10.0,115,4010,18.0,22.0,31.0
21.0,9.0,21.0,9.0,116,4209,21.0,28.0,36.0
22.0,8.0,22.0,8.0,117,4408,15.0,24.0,31.0
23.0,7.0,23.0,7.0,118,4607,9.0,18.0,25.0
23.0,6.0,23.0,6.0,119,4606,12.0,21.0,28.0
23.0,5.0,23.0,5.0,120,4605,20.0,29.0,36.0
23.0,4.0,23.0,4.0,121,4604,27.0,36.0,45.0
22.0,3.0,22.0,3.0,122,4403,24.0,33.0,42.0
22.0,2.0,22.0,2.0,123,4402,35.0,44.0,53.0
21.0,1.0,21.0,1.0,124,4201,42.0,52.0,62.0
20.0,0.0,20.0,0.0,125,4000,42.0,52.0,64.0
49.0,124.0,49.0,124.0,0,9924,51.0,54.0,61.0
49.0,124.0,49.0,124.0,1,9924,51.0,54.0,61.0
48.0,123.0,48.0,123.0,2,9723,45.0,45.0,55.0
49.0,122.0,49.0,122.0,3,9922,13.0,16.0,21.0
49.0,121.0,49.0,121.0,4,9921,3.0,9.0,9.0
50.0,120.0,50.0,120.0,5,10120,10.0,11.0,16.0
51.0,119.0,51.0,119.0,6,10319,20.0,18.0,29.0
52.0,118.0,52.0,118.0,7,10518,51.0,38.0,48.0
53.0,117.0,53.0,117.0,8,10717,64.0,51.0,58.0
52.0,116.0,52.0,116.0,9,10516,37.0,28.0,33.0
52.0,115.0,52.0,115.0,10,10515,51.0,46.0,53.0
52.0,114.0,52.0,114.0,11,10514,48.0,40.0,51.0
52.0,113.0,52.0,113.0,12,10513,45.0,38.0,45.0
51.0,112.0,51.0,112.0,13,10312,47.0,41.0,45.0
50.0,111.0,50.0,111.0,14,10111,47.0,42.0,46.0
51.0,110.0,51.0,110.0,15,10310,54.0,48.0,48.0
51.0,109.0,51.0,109.0,16,10309,65.0,55.0,53.0
50.0,108.0,50.0,108.0,17,10108,52.0,42.0,43.0
50.0,107.0,50.0,107.0,18,10107,42.0,33.0,36.0
49.0,106.0,49.0,106.0,19,9906,52.0,45.0,52.0
48.0,105.0,48.0,105.0,20,9705,53.0,41.0,51.0
49.0,104.0,49.0,104.0,21,9904,40.0,39.0,45.0
48.0,103.0,48.0,103.0,22,9703,37.0,42.0,48.0
47.0,102.0,47.0,102.0,23,9502,14.0,18.0,29.0
47.0,101.0,47.0,101.0,24,9501,0.0,8.0,10.0
48.0,100.0,48.0,100.0,25,9700,70.0,72.0,58.0
49.0,99.0,49.0,99.0,26,9899,78.0,79.0,71.0
49.0,98.0,49.0,98.0,27,9898,2.0,2.0,10.0
49.0,97.0,49.0,97.0,28,9897,22.0,26.0,37.0
50.0,96.0,50.0,96.0,29,10096,27.0,29.0,41.0
50.0,95.0,50.0,95.0,30,10095,19.0,26.0,34.0
51.0,94.0,51.0,94.0,31,10294,32.0,30.0,41.0
50.0,93.0,50.0,93.0,32,10093,30.0,32.0,45.0
50.0,92.0,50.0,92.0,33,10092,24.0,27.0,36.0
50.0,91.0,50.0,91.0,34,10091,26.0,27.0,32.0
50.0,90.0,50.0,90.0,35,10090,28.0,26.0,31.0
50.0,89.0,50.0,89.0,36,10089,35.0,30.0,36.0
49.0,88.0,49.0,88.0,37,9888,42.0,42.0,44.0
49.0,87.0,49.0,87.0,38,9887,52.0,45.0,52.0
48.0,86.0,48.0,86.0,39,9686,53.0,47.0,51.0
49.0,85.0,49.0,85.0,39,9885,66.0,55.0,59.0
48.0,84.0,48.0,84.0,40,9684,48.0,48.0,50.0
47.0,83.0,47.0,83.0,41,9483,61.0,58.0,65.0
46.0,82.0,46.0,82.0,42,9282,20.0,23.0,30.0
46.0,81.0,46.0,81.0,43,9281,22.0,26.0,35.0
47.0,80.0,47.0,80.0,44,9480,22.0,31.0,40.0
47.0,79.0,47.0,79.0,45,9479,28.0,38.0,47.0
48.0,78.0,48.0,78.0,46,9678,41.0,48.0,58.0
49.0,77.0,49.0,77.0,46,9877,31.0,35.0,44.0
50.0,76.0,50.0,76.0,47,10076,45.0,48.0,57.0
51.0,75.0,51.0,75.0,48,10275,27.0,31.0,40.0
52.0,74.0,52.0,74.0,49,10474,29.0,33.0,42.0
53.0,73.0,53.0,73.0,50,10673,28.0,31.0,40.0
54.0,72.0,54.0,72.0,51,10872,24.0,28.0,37.0
55.0,71.0,55.0,71.0,52,11071,33.0,36.0,43.0
56.0,70.0,56.0,70.0,53,11270,37.0,41.0,52.0
57.0,69.0,57.0,69.0,54,11469,38.0,42.0,54.0
58.0,68.0,58.0,68.0,55,11668,27.0,31.0,40.0
59.0,67.0,59.0,67.0,56,11867,33.0,38.0,44.0
60.0,66.0,60.0,66.0,57,12066,33.0,36.0,45.0
59.0,65.0,59.0,65.0,58,11865,36.0,39.0,48.0
59.0,64.0,59.0,64.0,59,11864,31.0,35.0,46.0
59.0,63.0,59.0,63.0,60,11863,32.0,39.0,49.0
60.0,62.0,60.0,62.0,61,12062,22.0,29.0,39.0
61.0,61.0,61.0,61.0,62,12261,27.0,36.0,45.0
62.0,60.0,62.0,60.0,63,12460,32.0,36.0,45.0
63.0,59.0,63.0,59.0,64,12659,21.0,23.0,35.0
64.0,58.0,64.0,58.0,65,12858,24.0,28.0,37.0
65.0,57.0,65.0,57.0,66,13057,43.0,46.0,53.0
66.0,56.0,66.0,56.0,67,13256,37.0,46.0,53.0
67.0,55.0,67.0,55.0,68,13455,26.0,35.0,44.0
68.0,54.0,68.0,54.0,69,13654,18.0,22.0,33.0
69.0,53.0,69.0,53.0,70,13853,18.0,22.0,31.0
70.0,52.0,70.0,52.0,71,14052,1.0,4.0,11.0
71.0,51.0,71.0,51.0,72,14251,10.0,15.0,19.0
71.0,50.0,71.0,50.0,73,14250,17.0,22.0,28.0
72.0,49.0,72.0,49.0,74,14449,9.0,13.0,24.0
73.0,48.0,73.0,48.0,75,14648,13.0,16.0,25.0
74.0,47.0,74.0,47.0,76,14847,45.0,48.0,57.0
74.0,46.0,74.0,46.0,77,14846,48.0,52.0,63.0
75.0,45.0,75.0,45.0,78,15045,17.0,26.0,35.0
76.0,44.0,76.0,44.0,79,15244,27.0,40.0,48.0
77.0,43.0,77.0,43.0,80,15443,34.0,44.0,53.0
76.0,42.0,76.0,42.0,81,15242,41.0,50.0,59.0
76.0,41.0,76.0,41.0,82,15241,17.0,26.0,35.0
75.0,40.0,75.0,40.0,83,15040,10.0,20.0,29.0
74.0,39.0,74.0,39.0,84,14839,26.0,35.0,44.0
73.0,38.0,73.0,38.0,85,14638,28.0,37.0,46.0
72.0,37.0,72.0,37.0,86,14437,19.0,23.0,35.0
72.0,36.0,72.0,36.0,87,14436,23.0,23.0,35.0
72.0,35.0,72.0,35.0,88,14435,19.0,23.0,32.0
71.0,34.0,71.0,34.0,89,14234,18.0,22.0,34.0
70.0,33.0,70.0,33.0,90,14033,67.0,70.0,87.0
69.0,32.0,69.0,32.0,91,13832,84.0,90.0,116.0
68.0,31.0,68.0,31.0,92,13631,88.0,95.0,124.0
67.0,30.0,67.0,30.0,93,13430,62.0,66.0,101.0
68.0,29.0,68.0,29.0,94,13629,70.0,75.0,104.0
69.0,28.0,69.0,28.0,95,13828,58.0,66.0,77.0
70.0,27.0,70.0,27.0,96,14027,64.0,72.0,83.0
71.0,26.0,71.0,26.0,97,14226,43.0,48.0,70.0
72.0,25.0,72.0,25.0,98,14425,70.0,75.0,97.0
73.0,24.0,73.0,24.0,99,14624,58.0,69.0,89.0
74.0,23.0,74.0,23.0,100,14823,49.0,60.0,80.0
75.0,22.0,75.0,22.0,101,15022,67.0,72.0,94.0
76.0,21.0,76.0,21.0,102,15221,84.0,82.0,96.0
76.0,20.0,76.0,20.0,103,15220,99.0,95.0,112.0
76.0,19.0,76.0,19.0,104,15219,79.0,77.0,101.0
76.0,18.0,76.0,18.0,105,15218,69.0,73.0,98.0
75.0,17.0,75.0,17.0,106,15017,69.0,76.0,95.0
75.0,16.0,75.0,16.0,107,15016,36.0,38.0,59.0
75.0,15.0,75.0,15.0,108,15015,44.0,51.0,70.0
75.0,14.0,75.0,14.0,109,15014,57.0,66.0,83.0
75.0,13.0,75.0,13.0,110,15013,26.0,33.0,49.0
74.0,12.0,74.0,12.0,111,14812,29.0,37.0,50.0
73.0,11.0,73.0,11.0,112,14611,24.0,33.0,40.0
74.0,10.0,74.0,10.0,113,14810,57.0,66.0,75.0
74.0,9.0,74.0,9.0,114,14809,99.0,108.0,117.0
75.0,8.0,75.0,8.0,114,15008,65.0,75.0,85.0
74.0,7.0,74.0,7.0,115,14807,59.0,69.0,79.0
73.0,6.0,73.0,6.0,116,14606,30.0,39.0,54.0
73.0,5.0,73.0,5.0,117,14605,72.0,80.0,101.0
73.0,4.0,73.0,4.0,118,14604,52.0,58.0,80.0
74.0,3.0,74.0,3.0,119,14803,63.0,70.0,88.0
74.0,2.0,74.0,2.0,120,14802,39.0,47.0,58.0
73.0,1.0,73.0,1.0,121,14601,38.0,44.0,56.0
72.0,0.0,72.0,0.0,121,14400,55.0,56.0,76.0
49.0,124.0,49.0,124.0,0,9924,51.0,54.0,61.0
49.0,124.0,49.0,124.0,1,9924,51.0,54.0,61.0
48.0,123.0,48.0,123.0,2,9723,45.0,45.0,55.0
47.0,122.0,47.0,122.0,3,9522,17.0,24.0,32.0
48.0,121.0,48.0,121.0,4,9721,16.0,24.0,27.0
47.0,120.0,47.0,120.0,5,9520,12.0,20.0,23.0
47.0,119.0,47.0,119.0,6,9519,25.0,24.0,30.0
46.0,118.0,46.0,118.0,7,9318,23.0,26.0,33.0
45.0,117.0,45.0,117.0,8,9117,32.0,32.0,40.0
45.0,116.0,45.0,116.0,9,9116,27.0,28.0,32.0
45.0,115.0,45.0,115.0,10,9115,37.0,37.0,39.0
44.0,114.0,44.0,114.0,11,8914,62.0,61.0,67.0
43.0,113.0,43.0,113.0,12,8713,39.0,34.0,41.0
42.0,112.0,42.0,112.0,13,8512,47.0,42.0,48.0
